UKPRN,HE Provider,Austria,Belgium,Bulgaria,Canary Islands,Croatia,Cyprus (European Union),Cyprus not otherwise specified,Czech Republic,Denmark,Estonia,Finland,France,French Guiana,Germany,Gibraltar,Greece,Guadeloupe,Hungary,Ireland,Italy,Latvia,Lithuania,Luxembourg,Malta,Martinique,Netherlands,Poland,Portugal,Romania,Réunion,Slovakia,Slovenia,Åland Islands,Spain,Sweden,European Union not otherwise specified,Total European Union,Total
10007848,University of Chester,5,5,5,0,0,5,0,5,0,0,0,20,0,25,10,10,0,0,45,15,0,0,0,10,0,5,10,0,5,0,0,0,0,15,10,0,210,855
10007137,The University of Chichester,0,5,0,0,0,0,0,0,0,0,0,5,0,10,10,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,65,160
10001546,The College of Integrated Chinese Medicine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5
10001419,Christie's Education Limited,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,20
10010213,The City College,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15
10001478,"City, University of London",45,70,55,0,10,120,0,30,30,10,20,195,0,275,15,320,0,30,65,360,20,45,25,0,0,40,45,35,130,0,10,0,0,100,80,35,"2,225","7,505"
10007912,Cliff College,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10013357,The Academy of Contemporary Music,0,5,0,0,0,0,0,0,0,0,5,10,0,0,0,0,0,5,0,5,0,5,0,0,0,5,0,0,5,0,0,0,0,5,5,0,60,70
10001653,Conservatoire for Dance and Drama,0,5,0,0,0,5,0,0,5,0,5,25,0,5,0,10,0,0,15,35,0,0,0,0,0,5,5,10,0,0,0,0,0,20,5,0,180,430
10007761,Courtauld Institute of Art,0,5,0,0,0,0,0,0,0,0,0,15,0,5,0,0,0,0,0,25,0,0,0,0,0,5,5,0,0,0,0,0,0,5,0,0,80,190
10034324,Court Theatre Training Company Ltd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10
10001726,Coventry University,5,50,335,0,5,115,0,15,10,40,10,60,0,55,5,160,0,10,90,45,100,245,5,5,0,35,150,20,480,0,10,0,0,45,10,0,"2,120","9,720"
10007822,Cranfield University,15,20,5,0,0,5,0,10,5,0,5,265,0,75,0,70,0,5,35,110,0,0,0,10,0,30,55,25,5,0,0,5,0,195,5,0,955,"2,100"
10006427,University for the Creative Arts,5,5,15,0,5,50,0,0,0,5,10,20,0,20,5,30,0,5,10,30,5,20,5,0,0,5,15,20,15,0,0,0,0,20,10,0,335,695
